response,field,id,info
CREATED,family_id,PMGRC-1289
CREATED,family_id,PMGRC-129
CREATED,family_id,PMGRC-1294
CREATED,family_id,PMGRC-1295
CREATED,family_id,PMGRC-1298
CREATED,family_id,PMGRC-1299
CREATED,family_id,PMGRC-13
CREATED,family_id,PMGRC-130
CREATED,family_id,PMGRC-1304
CREATED,family_id,PMGRC-1305
CREATED,family_id,PMGRC-1308
CREATED,family_id,PMGRC-1309
CREATED,family_id,PMGRC-131
CREATED,family_id,PMGRC-1312
CREATED,family_id,PMGRC-1313
CREATED,family_id,PMGRC-1317
CREATED,family_id,PMGRC-1318
CREATED,family_id,PMGRC-1319
CREATED,family_id,PMGRC-1321
CREATED,family_id,PMGRC-1322
CREATED,family_id,PMGRC-1325
CREATED,family_id,PMGRC-1327
CREATED,family_id,PMGRC-1330
CREATED,family_id,PMGRC-1331
CREATED,family_id,PMGRC-1335
CREATED,family_id,PMGRC-1336
CREATED,family_id,PMGRC-1337
CREATED,family_id,PMGRC-1338
CREATED,family_id,PMGRC-1341
CREATED,family_id,PMGRC-1345
CREATED,family_id,PMGRC-1349
CREATED,family_id,PMGRC-1350
CREATED,family_id,PMGRC-136
CREATED,family_id,PMGRC-137
CREATED,family_id,PMGRC-14
CREATED,family_id,PMGRC-141
CREATED,family_id,PMGRC-142
CREATED,family_id,PMGRC-143
CREATED,family_id,PMGRC-146
CREATED,family_id,PMGRC-148
CREATED,family_id,PMGRC-151
CREATED,family_id,PMGRC-152
CREATED,family_id,PMGRC-158
CREATED,family_id,PMGRC-161
CREATED,family_id,PMGRC-164
CREATED,family_id,PMGRC-167
CREATED,family_id,PMGRC-17
CREATED,family_id,PMGRC-170
CREATED,family_id,PMGRC-175
CREATED,family_id,PMGRC-176
CREATED,family_id,PMGRC-178
CREATED,family_id,PMGRC-181
CREATED,family_id,PMGRC-184
CREATED,family_id,PMGRC-186
CREATED,family_id,PMGRC-188
CREATED,family_id,PMGRC-191
CREATED,family_id,PMGRC-194
CREATED,family_id,PMGRC-195
CREATED,family_id,PMGRC-196
CREATED,family_id,PMGRC-199
CREATED,family_id,PMGRC-2001
CREATED,family_id,PMGRC-2005
CREATED,family_id,PMGRC-2007
CREATED,family_id,PMGRC-2009
CREATED,family_id,PMGRC-2010
CREATED,family_id,PMGRC-2011
CREATED,family_id,PMGRC-2012
CREATED,family_id,PMGRC-2013
CREATED,family_id,PMGRC-2014
CREATED,family_id,PMGRC-2015
CREATED,family_id,PMGRC-2016
CREATED,family_id,PMGRC-2017
CREATED,family_id,PMGRC-2018
CREATED,family_id,PMGRC-2020
CREATED,family_id,PMGRC-2021
CREATED,family_id,PMGRC-2029
CREATED,family_id,PMGRC-2030
CREATED,family_id,PMGRC-2031
CREATED,family_id,PMGRC-2032
CREATED,family_id,PMGRC-2033
CREATED,family_id,PMGRC-2034
CREATED,family_id,PMGRC-2035
CREATED,family_id,PMGRC-2036
CREATED,family_id,PMGRC-2037
CREATED,family_id,PMGRC-204
CREATED,family_id,PMGRC-2040
CREATED,family_id,PMGRC-2041
CREATED,family_id,PMGRC-2042
CREATED,family_id,PMGRC-2043
CREATED,family_id,PMGRC-2044
CREATED,family_id,PMGRC-2049
CREATED,family_id,PMGRC-205
CREATED,family_id,PMGRC-2054
CREATED,family_id,PMGRC-2055
CREATED,family_id,PMGRC-2056
CREATED,family_id,PMGRC-2057
